Category	Role
Performer	Chang Chang
Performer	Chang Chiki
Performer	Changgo
Performer	Chant
Performer	Chanter
Performer	Chanteuse
Performer	Chanzy
Performer	Chap
Performer	Chapman Stick
Performer	Chapuis
Performer	Charamel
Performer	Charango
Performer	Charonia
Performer	Charrasca
Performer	Chaskas
Performer	Chatan
Performer	Chau Gong
Performer	Chazoid
Performer	Chekere
Performer	Chelo
Performer	Chenda
Performer	Cheng
Performer	Chequere
Performer	Cherimia
Performer	Chicote
Performer	Chifonie
Performer	Chikuzen Biwa
Performer	Children's Voices
Performer	Chilean Guitar
Performer	Chimba
Performer	Chime Bar
Performer	Chimes
Performer	Chimta
Performer	Chinese Bells
Performer	Chinese Cornet
Performer	Chinese Cymbals
Performer	Chinese Dit Zu
Performer	Chinese Double Bells
Performer	Chinese Drums
Performer	Chinese Dulcimer
Performer	Chinese Flute
Performer	Chinese Gong
Performer	Chinese Harp
Performer	Chinese Health Balls
Performer	Chinese Lute
Performer	Chinese Oboe
Performer	Chinese Percussion
Performer	Chinese Tom Tom
Performer	Chinese Violin
Performer	Ching
Performer	Ching Samples
Performer	Chirimia
Performer	Chirimía
Performer	Chirimias
Performer	Chitarra Battente
Performer	Chitarra Saracena
Performer	Chitarrone
Performer	Chitra Vina
Performer	Chitraveena
Performer	Chocalhos
Performer	Chocola
Performer	Choeurs
Performer	Choir Boy
Performer	Choir Samples
Performer	Choir Vocals
Performer	Chonguri
Performer	Chord Organ
Performer	Chordal Drum
Performer	Chords
Performer	Choreinstudierung
Performer	Chorgesang
Performer	Choriana
Performer	Chorki
Performer	Chorsatz
Performer	Chroma
Performer	Chromatic Accordeon
Performer	Chromatic Accordion
Performer	Chromatic Button Accordion
Performer	Chromatic Harmonica
Performer	Chromatic Tympani
Performer	Chromelodeon
Performer	Chucalho
Performer	Chumbus
Performer	Chuniri
Performer	Churango
Performer	Ciaramello
Performer	Cigar Box Guitar
Performer	Cimbalom
Performer	Cimbasso
Performer	Circle Machine
Performer	Cister
Performer	Cistro
Performer	Citera
Performer	Cithara
Performer	Cithare
Performer	Cithare Teutonica
Performer	Citole
Performer	Cittern
Performer	Clacker
Performer	Clap Drums
Performer	Clapper
